Posto_key;POSTOID;key;Provincia_first;Distrito_first;Posto_first;Posto_first.y;water3;N.Surface;P.Surface
Urrene;81203;Inhambane Panda Urrene;Inhambane;Panda;Urrene;Urrene;Surface water;9;1,6
Urbano_5;70105;Sofala Cidade da Beira Urbano 5;Sofala;Cidade da Beira;Urbano 5;Urbano 5;Surface water;5;0,3
Urbano_4;70104;Sofala Cidade da Beira Urbano 4;Sofala;Cidade da Beira;Urbano 4;NA;Surface water;0;0
Urbano_3;70103;Sofala Cidade da Beira Urbano 3;Sofala;Cidade da Beira;Urbano 3;Urbano 3;Surface water;10;0,1
Urbano_2;70102;Sofala Cidade da Beira Urbano 2;Sofala;Cidade da Beira;Urbano 2;NA;Surface water;0;0
Urbano_1;70101;Sofala Cidade da Beira Urbano 1;Sofala;Cidade da Beira;Urbano 1;Urbano 1;Surface water;5;0
Urbano N°3;60103;Manica Chimoio Urbano N.3;Manica;Chimoio;Urbano N.3;NA;Surface water;0;0
Urbano N°2;60102;Manica Chimoio Urbano N.2;Manica;Chimoio;Urbano N.2;NA;Surface water;0;0
Urbano N°1;60101;Manica Chimoio Urbano N.1;Manica;Chimoio;Urbano N.1;Urbano N.1;Surface water;16;0,2
Urbano Central;30101;Nampula Nampula Urbano Central;Nampula;Nampula;Urbano Central;NA;Surface water;0;0
Urbano 5;40105;Zambezia Cidade de Quelimane Urbano 05;Zambezia;Cidade de Quelimane;Urbano 05;NA;Surface water;0;0
Urbano 4;40104;Zambezia Cidade de Quelimane Urbano 04;Zambezia;Cidade de Quelimane;Urbano 04;NA;Surface water;0;0
Urbano 3;40103;Zambezia Cidade de Quelimane Urbano 03;Zambezia;Cidade de Quelimane;Urbano 03;NA;Surface water;0;0
Urbano 2;40102;Zambezia Cidade de Quelimane Urbano 02;Zambezia;Cidade de Quelimane;Urbano 02;NA;Surface water;0;0
Urbano 1;40101;Zambezia Cidade de Quelimane Urbano 01;Zambezia;Cidade de Quelimane;Urbano 01;NA;Surface water;0;0
Unango;11601;Niassa Sanga Unango;Niassa;Sanga;Unango;Unango;Surface water;187;7,1
Ulóngue;50201;Tete Ang.nia Ulongo.;Tete;Ang.nia;Ulongo.;Ulongo.;Surface water;1046;4,8
